host,cpu,mem,io_wait,latency_ms
web-01,52,61,9,120
web-02,48,58,11,118
web-03,51,63,10,124
web-04,49,59,10,119
web-05,53,62,9,121
web-06,47,57,12,117
web-07,50,60,10,122
web-08,52,64,11,125
web-09,46,56,9,116
web-10,51,61,10,120
web-11,49,60,10,123
web-12,50,58,11,118
db-01,55,70,14,140
db-02,54,69,13,138
db-03,56,71,15,142
db-04,53,68,14,137
db-05,55,70,13,139
db-06,57,72,15,143
cache-01,30,40,4,45
cache-02,31,41,5,47
cache-03,29,39,4,44
cache-04,32,42,5,48
cache-05,30,40,4,46
web-13,51,60,88,131
db-07,95,71,14,141
cache-06,30,41,4,470
