time,latency,host
2026-01-02T00:00:00Z,120.0,web-1
2026-01-02T00:05:00Z,123.8,web-2
2026-01-02T00:10:00Z,126.4,web-1
2026-01-02T00:15:00Z,127.2,web-2
2026-01-02T00:20:00Z,126.2,web-1
2026-01-02T00:25:00Z,124.7,web-2
2026-01-02T00:30:00Z,123.7,web-1
2026-01-02T00:35:00Z,124.3,web-2
2026-01-02T00:40:00Z,126.8,web-1
2026-01-02T00:45:00Z,130.3,web-2
2026-01-02T00:50:00Z,133.7,web-1
2026-01-02T00:55:00Z,135.9,web-2
2026-01-02T01:00:00Z,136.0,web-1
2026-01-02T01:05:00Z,134.5,web-2
2026-01-02T01:10:00Z,132.3,web-1
2026-01-02T01:15:00Z,130.7,web-2
2026-01-02T01:20:00Z,130.7,web-1
2026-01-02T01:25:00Z,132.3,web-2
2026-01-02T01:30:00Z,135.1,web-1
2026-01-02T01:35:00Z,137.7,web-2
2026-01-02T01:40:00Z,138.9,web-1
2026-01-02T01:45:00Z,138.1,web-2
2026-01-02T01:50:00Z,135.7,web-1
2026-01-02T01:55:00Z,132.6,web-2
2026-01-02T02:00:00Z,130.1,web-1
2026-01-02T02:05:00Z,129.2,web-2
2026-01-02T02:10:00Z,130.0,web-1
2026-01-02T02:15:00Z,131.9,web-2
2026-01-02T02:20:00Z,133.6,web-1
2026-01-02T02:25:00Z,133.9,web-2
2026-01-02T02:30:00Z,132.3,web-1
2026-01-02T02:35:00Z,129.1,web-2
2026-01-02T02:40:00Z,125.3,web-1
2026-01-02T02:45:00Z,122.1,web-2
2026-01-02T02:50:00Z,120.7,web-1
2026-01-02T02:55:00Z,121.0,web-2
2026-01-02T03:00:00Z,122.4,web-1
2026-01-02T03:05:00Z,123.7,web-2
2026-01-02T03:10:00Z,123.6,web-1
2026-01-02T03:15:00Z,121.7,web-2
2026-01-02T03:20:00Z,118.2,web-1
2026-01-02T03:25:00Z,114.3,web-2
2026-01-02T03:30:00Z,111.1,web-1
2026-01-02T03:35:00Z,109.7,web-2
2026-01-02T03:40:00Z,110.2,web-1
2026-01-02T03:45:00Z,111.8,web-2
2026-01-02T03:50:00Z,113.3,web-1
2026-01-02T03:55:00Z,113.5,web-2
2026-01-02T04:00:00Z,111.9,web-1
2026-01-02T04:05:00Z,108.9,web-2
2026-01-02T04:10:00Z,105.5,web-1
2026-01-02T04:15:00Z,102.9,web-2
2026-01-02T04:20:00Z,102.2,web-1
2026-01-02T04:25:00Z,103.4,web-2
2026-01-02T04:30:00Z,105.7,web-1
2026-01-02T04:35:00Z,108.0,web-2
2026-01-02T04:40:00Z,109.0,web-1
2026-01-02T04:45:00Z,108.2,web-2
2026-01-02T04:50:00Z,106.1,web-1
2026-01-02T04:55:00Z,103.5,web-2
2026-01-02T05:00:00Z,102.0,web-1
2026-01-02T05:05:00Z,102.2,web-2
2026-01-02T05:10:00Z,104.3,web-1
2026-01-02T05:15:00Z,107.6,web-2
2026-01-02T05:20:00Z,110.7,web-1
2026-01-02T05:25:00Z,112.6,web-2
2026-01-02T05:30:00Z,112.6,web-1
2026-01-02T05:35:00Z,111.2,web-2
2026-01-02T05:40:00Z,109.5,web-1
2026-01-02T05:45:00Z,108.7,web-2
2026-01-02T05:50:00Z,109.7,web-1
