time,cpu,host
2026-01-04T00:00:00Z,50.0,h1
2026-01-04T00:00:00Z,50.0,h2
2026-01-04T00:00:00Z,50.0,h3
2026-01-04T00:00:00Z,50.0,h4
2026-01-04T00:00:00Z,50.0,h5
2026-01-04T00:01:00Z,50.6,h1
2026-01-04T00:01:00Z,50.6,h2
2026-01-04T00:01:00Z,50.6,h3
2026-01-04T00:01:00Z,50.6,h4
2026-01-04T00:01:00Z,50.6,h5
2026-01-04T00:02:00Z,51.2,h1
2026-01-04T00:02:00Z,51.2,h2
2026-01-04T00:02:00Z,51.2,h3
2026-01-04T00:02:00Z,51.2,h4
2026-01-04T00:02:00Z,51.2,h5
2026-01-04T00:03:00Z,51.7,h1
2026-01-04T00:03:00Z,51.7,h2
2026-01-04T00:03:00Z,51.7,h3
2026-01-04T00:03:00Z,51.7,h4
2026-01-04T00:03:00Z,51.7,h5
2026-01-04T00:04:00Z,52.2,h1
2026-01-04T00:04:00Z,52.2,h2
2026-01-04T00:04:00Z,52.2,h3
2026-01-04T00:04:00Z,52.2,h4
2026-01-04T00:04:00Z,52.2,h5
2026-01-04T00:05:00Z,52.5,h1
2026-01-04T00:05:00Z,52.5,h2
2026-01-04T00:05:00Z,52.5,h3
2026-01-04T00:05:00Z,52.5,h4
2026-01-04T00:05:00Z,52.5,h5
2026-01-04T00:06:00Z,52.8,h1
2026-01-04T00:06:00Z,52.8,h2
2026-01-04T00:06:00Z,52.8,h3
2026-01-04T00:06:00Z,52.8,h4
2026-01-04T00:06:00Z,52.8,h5
2026-01-04T00:07:00Z,53.0,h1
2026-01-04T00:07:00Z,53.0,h2
2026-01-04T00:07:00Z,53.0,h3
2026-01-04T00:07:00Z,53.0,h4
2026-01-04T00:07:00Z,53.0,h5
2026-01-04T00:08:00Z,53.0,h1
2026-01-04T00:08:00Z,53.0,h2
2026-01-04T00:08:00Z,53.0,h3
2026-01-04T00:08:00Z,53.0,h4
2026-01-04T00:08:00Z,53.0,h5
2026-01-04T00:09:00Z,52.9,h1
2026-01-04T00:09:00Z,52.9,h2
2026-01-04T00:09:00Z,52.9,h3
2026-01-04T00:09:00Z,52.9,h4
2026-01-04T00:09:00Z,52.9,h5
2026-01-04T00:10:00Z,52.7,h1
2026-01-04T00:10:00Z,52.7,h2
2026-01-04T00:10:00Z,52.7,h3
2026-01-04T00:10:00Z,52.7,h4
2026-01-04T00:10:00Z,52.7,h5
2026-01-04T00:11:00Z,52.4,h1
2026-01-04T00:11:00Z,52.4,h2
2026-01-04T00:11:00Z,52.4,h3
2026-01-04T00:11:00Z,52.4,h4
2026-01-04T00:11:00Z,52.4,h5
2026-01-04T00:12:00Z,52.0,h1
2026-01-04T00:12:00Z,52.0,h2
2026-01-04T00:12:00Z,52.0,h3
2026-01-04T00:12:00Z,52.0,h4
2026-01-04T00:12:00Z,52.0,h5
2026-01-04T00:13:00Z,51.5,h1
2026-01-04T00:13:00Z,51.5,h2
2026-01-04T00:13:00Z,51.5,h3
2026-01-04T00:13:00Z,51.5,h4
2026-01-04T00:13:00Z,51.5,h5
2026-01-04T00:14:00Z,51.0,h1
2026-01-04T00:14:00Z,51.0,h2
2026-01-04T00:14:00Z,51.0,h3
2026-01-04T00:14:00Z,51.0,h4
2026-01-04T00:14:00Z,51.0,h5
2026-01-04T00:15:00Z,50.4,h1
2026-01-04T00:15:00Z,50.4,h2
2026-01-04T00:15:00Z,50.4,h3
